PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00fba,3r2k1/p3qp1p/6p1/P7/3r4/2Q4P/n4PP1/1RR2BK1 w - - 2 31,c3c7 d4d7 c7c5 a2c1 c5e7 d7e7,1995,75,94,5294,crushing long master middlegame,https://lichess.org/PuG50RPy#60,
00fgg,4r1k1/p4ppp/8/8/8/8/PP1b1PPP/K2R4 w - - 0 21,d1d2 e8e1 d2d1 e1d1,590,93,63,191,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/AjVJZKD1#40,
00fky,5rk1/ppqb1p1p/2p2Bp1/3p4/8/2P2Q2/PP3PPP/4R1K1 b - - 0 19,f8e8 e1e8 d7e8 f3e3 c7d6 e3e8,1567,84,100,61,advantage endgame kingsideAttack long,https://lichess.org/XuK4pm8q/black#37,
00fmc,1r1r2k1/2p3b1/p1q4p/3pP1pb/P2B1p2/1B3P2/1P4PP/R2QR1K1 w - - 7 29,e5e6 g7d4 d1d4 b8b3,1438,74,91,1550,advantage middlegame short,https://lichess.org/KIWMqJFV#56,
00ft3,8/p7/2R3p1/4Nnk1/2P4p/7K/Pr6/8 b - - 3 50,g5f4 e5d3 f4g5 d3b2,1264,79,86,826,crushing endgame fork short,https://lichess.org/CFT5b92o/black#99,
00fwM,Qn1qk2r/p4ppp/2p5/2bn4/4pPb1/2N5/PPPP2PP/R1B1KBNR w KQk - 1 9,h2h3 d8h4 g2g3 h4g3,1311,76,96,3340,mate mateIn2 opening short,https://lichess.org/REHlrlvo#16,Kings_Gambit_Declined Kings_Gambit_Declined_Falkbeer_Countergambit
00g2W,6k1/1q4p1/p2P2B1/8/5Q1P/6P1/P6K/4r3 w - - 5 36,f4f2 b7h1,726,94,47,38,endgame mate mateIn1 oneMove,https://lichess.org/QG0oodxm#70,
00g5t,5rk1/p1p3p1/bp2p2p/5p2/2qPB3/2P5/2Q2PPP/R4RK1 w - - 0 24,a1a4 c4f1,1246,104,76,46,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/aVCFv31r#46,
00gH0,3r2k1/6pp/8/5Q2/2pP4/2Pq2P1/5RKP/8 b - - 2 35,d3c3 f5f7 g8h8 f7f8 d8f8 f2f8,1347,88,82,799,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/vnNaoc4v/black#69,
00gNl,6k1/5R2/pp4p1/2p4p/7P/1P1r4/P3r1PK/5R2 b - - 0 38,d3d2 f7f8 g8h7 f1f7 h7h6 f8h8,838,79,97,521,endgame exposedKing long mate mateIn3 rookEndgame,https://lichess.org/JhG6365X/black#75,
